lat,lon,el_ft
43.99112862,-112.4182641,"4853.6	"
43.99104076,-112.4135967,"4862.8						"
43.99104076,-112.4135947,"4862.8						"
43.99104077,-112.4135799,"4862.8						"
43.99104078,-112.4135602,"4862.8						"
43.9910415,-112.4135395,"4862.9						"
43.99104221,-112.4135306,"4862.9						"
43.99104221,-112.4135287,"4862.9						"
43.99104222,-112.4135109,"4862.9						"
43.99104294,-112.4134932,"4862.9						"
43.99104294,-112.4134893,"4862.9						"
43.99104294,-112.4134804,"4862.9						"
43.99104294,-112.4134765,"4862.9						"
43.99104224,-112.4134686,"4862.9						"
43.99104224,-112.4134637,"4863.0						"
43.99104224,-112.4134598,"4863.0						"
43.99104154,-112.4134559,"4863.0						"
43.99104154,-112.4134451,"4863.0						"
43.99104154,-112.4134402,"4863.0						"
43.99104154,-112.4134313,"4863.0						"
43.99104154,-112.4134274,"4863.0						"
43.99104154,-112.4134156,"4863.0						"
43.99104154,-112.4134127,"4863.0						"
43.99104155,-112.4134078,"4863.0						"
43.99104155,-112.4134019,"4863.0						"
43.99104155,-112.4133941,"4863.0						"
43.99104155,-112.4133921,"4863.0						"
43.99104155,-112.4133862,"4863.0						"
43.99104155,-112.4133754,"4863.1						"
43.99104155,-112.4133695,"4863.1						"
43.99104155,-112.4133617,"4863.1						"
43.99104155,-112.4133578,"4863.1						"
43.99104155,-112.413347,"4863.1						"
43.99104226,-112.4133411,"4863.1						"
43.99104226,-112.4133372,"4863.1						"
43.99104226,-112.4133313,"4863.1						"
43.99104226,-112.4133264,"4863.1						"
43.99104155,-112.4133186,"4863.1						"
43.99104155,-112.4133107,"4863.1						"
